Epoch, Train Loss, Train Accuracy, Train Precision, Train Recall, Train F1, Val Loss, Val Accuracy, Val Precision, Val Recall, Val F1
1, 0.8265, 0.6647, 0.6281, 0.6107, 0.6167, 0.6631, 0.7391, 0.7085, 0.6571, 0.6684
2, 0.5706, 0.7798, 0.7473, 0.7393, 0.7424, 0.5745, 0.7792, 0.7500, 0.7351, 0.7415
3, 0.4837, 0.8127, 0.7831, 0.7686, 0.7745, 0.5876, 0.7883, 0.7576, 0.8165, 0.7651
4, 0.4028, 0.8520, 0.8315, 0.8195, 0.8249, 0.5700, 0.8394, 0.8043, 0.8231, 0.8097
5, 0.3489, 0.8680, 0.8450, 0.8440, 0.8442, 0.5748, 0.7883, 0.7461, 0.7755, 0.7542
6, 0.2968, 0.8885, 0.8696, 0.8662, 0.8678, 0.6069, 0.8011, 0.7599, 0.7733, 0.7649
7, 0.2940, 0.8899, 0.8681, 0.8653, 0.8665, 0.5611, 0.8102, 0.7712, 0.7954, 0.7787
8, 0.2267, 0.9127, 0.8982, 0.8917, 0.8948, 0.6472, 0.8193, 0.7740, 0.7883, 0.7792
9, 0.1981, 0.9283, 0.9118, 0.9154, 0.9136, 0.6641, 0.8248, 0.7854, 0.7977, 0.7905
10, 0.1869, 0.9315, 0.9162, 0.9171, 0.9166, 0.5866, 0.8285, 0.7958, 0.7977, 0.7967
11, 0.1748, 0.9392, 0.9280, 0.9270, 0.9275, 0.4933, 0.8668, 0.8411, 0.8456, 0.8425
12, 0.1199, 0.9566, 0.9485, 0.9467, 0.9476, 0.4914, 0.8558, 0.8181, 0.8547, 0.8309
13, 0.1041, 0.9667, 0.9607, 0.9627, 0.9617, 0.6309, 0.8175, 0.7697, 0.7756, 0.7706
14, 0.1270, 0.9598, 0.9511, 0.9521, 0.9516, 0.7699, 0.7993, 0.7577, 0.7786, 0.7613
15, 0.1773, 0.9388, 0.9276, 0.9312, 0.9294, 0.6457, 0.8358, 0.8036, 0.8072, 0.8051
16, 0.1159, 0.9566, 0.9453, 0.9484, 0.9468, 0.6319, 0.8412, 0.8000, 0.8264, 0.8093
17, 0.0850, 0.9689, 0.9657, 0.9655, 0.9656, 0.6917, 0.8321, 0.7907, 0.8226, 0.8003
18, 0.0949, 0.9657, 0.9578, 0.9567, 0.9572, 0.5690, 0.8449, 0.8043, 0.8439, 0.8176
19, 0.0989, 0.9689, 0.9646, 0.9675, 0.9660, 0.7513, 0.8212, 0.7826, 0.8110, 0.7918
20, 0.0749, 0.9726, 0.9673, 0.9662, 0.9667, 0.6496, 0.8504, 0.8224, 0.8287, 0.8250
21, 0.0742, 0.9740, 0.9696, 0.9708, 0.9702, 0.7769, 0.8285, 0.7954, 0.8324, 0.8050
22, 0.0680, 0.9799, 0.9736, 0.9782, 0.9759, 0.6652, 0.8321, 0.7921, 0.8165, 0.8019
23, 0.0933, 0.9662, 0.9652, 0.9619, 0.9635, 0.7053, 0.8449, 0.7987, 0.8350, 0.8091
24, 0.0819, 0.9740, 0.9700, 0.9722, 0.9711, 0.8988, 0.8394, 0.8139, 0.8220, 0.8165
25, 0.0789, 0.9749, 0.9727, 0.9715, 0.9721, 0.7668, 0.8485, 0.8061, 0.8412, 0.8176
26, 0.0631, 0.9799, 0.9772, 0.9758, 0.9765, 0.7241, 0.8577, 0.8185, 0.8503, 0.8299
27, 0.0690, 0.9790, 0.9749, 0.9766, 0.9757, 0.7174, 0.8504, 0.8146, 0.8351, 0.8229
28, 0.0719, 0.9762, 0.9698, 0.9680, 0.9689, 0.7001, 0.8412, 0.7970, 0.8057, 0.7999
29, 0.0526, 0.9822, 0.9766, 0.9787, 0.9776, 0.6575, 0.8540, 0.8181, 0.8616, 0.8325
30, 0.0477, 0.9813, 0.9792, 0.9789, 0.9791, 0.6942, 0.8504, 0.8140, 0.8376, 0.8229
